Name,Core Voltage,ALMs,Total I/Os,GPIOs,GXB Channel PMA,GXB Channel PCS,PCIe Hard IP Blocks,Memory Bits,DSP Blocks,Fractional PLLs,DLLs,Global Clocks,
5SGXEA7K2F40C2,0.9V,234720,864,696,36,36,2,52428800,256,28,4,16,In manual
5SGXEA7N3F45C2,0.9V,234720,1064,840,48,48,4,52428800,256,28,4,16,DE5NET
,,,,,,,,,,,,,
5SGXEA3H1F35C1,0.9V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H2F35C1,0.9V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H1F35C2,0.9V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H1F35C2L,0.85V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H1F35I2,0.9V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H2F35C2,0.9V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H2F35C2L,0.85V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H2F35I2,0.9V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H2F35I2L,0.85V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H3F35C2,0.9V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H3F35C2L,0.85V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H2F35C3,0.85V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H2F35I3,0.85V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H2F35I3L,0.85V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H3F35C3,0.85V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H3F35I3,0.85V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H3F35I3L,0.85V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H3F35C4,0.85V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3H3F35I4,0.85V,128300,544,432,24,24,2,19599360,256,20,4,16,
5SGXEA3K1F35C1,0.9V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K2F35C1,0.9V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K1F35C2,0.9V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K1F35C2L,0.85V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K1F35I2,0.9V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K2F35C2,0.9V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K2F35C2L,0.85V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K2F35I2,0.9V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K2F35I2L,0.85V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K3F35C2,0.9V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K3F35C2L,0.85V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K2F35C3,0.85V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K2F35I3,0.85V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K2F35I3L,0.85V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K3F35C3,0.85V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K3F35I3,0.85V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K3F35I3L,0.85V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K3F35C4,0.85V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K3F35I4,0.85V,128300,600,432,36,36,2,19599360,256,24,4,16,
5SGXEA3K1F40C1,0.9V,128300,864,696,36,36,2,19599360,256,24,4,16,
5SGXEA3K2F40C1,0.9V,128300,864,696,36,36,2,19599360,256,24,4,16,
5SGXEA3K1F40C2,0.9V,128300,864,696,36,36,2,19599360,256,24,4,16,
5SGXEA3K1F40C2L,0.85V,128300,864,696,36,36,2,19599360,256,24,4,16,
5SGXEA3K1F40I2,0.9V,128300,864,696,36,36,2,19599360,256,24,4,16,
5SGXEA3K2F40C2,0.9V,128300,864,696,36,36,2,19599360,256,24,4,16,
5SGXEA3K2F40C2L,0.85V,128300,864,696,36,36,2,19599360,256,24,4,16,
5SGXEA3K2F40I2,0.9V,128300,864,696,36,36,2,19599360,256,24,4,16,
5SGXEA3K2F40I2L,0.85V,128300,864,696,36,36,2,19599360,256,24,4,16,
5SGXEA3K3F40C2,0.9V,128300,864,696,36,36,2,19599360,256,24,4,16,
5SGXEA3K3F40C2L,0.85V,128300,864,696,36,36,2,19599360,256,24,4,16,
5SGXEA3K2F40C3,0.85V,128300,864,696,36,36,2,19599360,256,24,4,16,
5SGXEA3K2F40I3,0.85V,128300,864,696,36,36,2,19599360,256,24,4,16,
5SGXEA3K2F40I3L,0.85V,128300,864,696,36,36,2,19599360,256,24,4,16,
